survey_country_wave,country_code,year,real_annual_sales_growth_pct,alt_target_labor_productivity_growth_pct,rd_spending_firms_pct,log_avg_fte_workers,avg_fte_workers,fixed_assets_purchase_firms_pct,direct_exporters_10pct_sales_pct,bank_loan_or_credit_line_firms_pct,finance_major_constraint_firms_pct,product_innovation_firms_pct,process_innovation_firms_pct,website_firms_pct,electronic_payments_made_pct,formal_training_workers_pct,quality_certification_firms_pct,electrical_outages_firms_pct
North Macedonia2023,MKD,2023,7.004335403,5.214758396,18.79140091,3.126759331135108,21.79997253,55.45597458,23.50145531,46.81428146,9.488406181,14.03473949,11.79950333,79.65862274,94.20209503,72.19785309,26.86733627,18.66334343
Montenegro2023,MNE,2023,10.96632385,9.711024284,16.45645142,3.383403580463089,28.47090721,33.91639709,9.846011162,43.1842804,7.10911417,7.527070522,2.478479147,72.84716797,94.97628021,67.72197723,20.35207748,55.39978027
Mauritius2023,MUS,2023,13.36059189,13.30761909,26.66862297,4.120517917321564,60.59113312,56.10528946,14.74391365,60.78675079,24.66314697,45.75722504,24.1126461,68.97809601,51.10400772,53.54592133,16.39480782,40.38035202
Nepal2023,NPL,2023,10.76636696,8.827131271,2.878066778,3.1109256790106388,21.4418087,32.76079178,11.0228405,57.84732437,25.43110657,16.47640228,8.504308701,53.68342972,9.622601509,35.46046066,4.659758091,75.83725739
New Zealand2023,NZL,2023,4.026689529,-1.047493339,33.88959122,3.0769105291719256,20.69128418,72.32195282,9.6161623,52.96418762,8.766917229,61.63905716,52.90907288,91.82978058,99.67769623,57.25778198,6.273871899,36.02309799
Peru2023,PER,2023,7.293507576,5.727723598,27.57258987,3.8305432865317095,45.08757019,48.40608978,6.280935287,81.21094513,8.553032875,64.79181671,68.67534637,82.18483734,86.71140289,72.26683044,10.45209694,33.51228333
Philippines2023,PHL,2023,21.1506958,12.58716011,16.83989525,3.5752565971827033,34.70378113,20.44284058,2.811978579,20.13773727,11.73950005,19.30974007,9.513290405,65.57988739,17.36510849,74.18972015,7.328674316,43.93493652
Portugal2023,PRT,2023,13.48773384,9.718014717,16.28450203,3.3569818798007742,27.70243263,42.59735489,13.50129986,48.23603821,7.530727863,5.139286518,2.155620337,70.56002808,94.01165009,68.83242035,14.7446146,9.837311745
Paraguay2023,PRY,2023,12.93346024,5.606022835,27.19948769,3.8780102952297573,47.32796097,45.11323929,7.267513275,64.95537567,14.89583683,16.56651115,14.23133659,91.08222961,59.06214523,58.80135727,10.82115078,75.65008545
Romania2023,ROU,2023,5.492466927,1.989489555,7.587040424,3.3274924242870667,26.86837196,39.21121979,10.95102787,43.64571381,23.01694679,2.889341116,2.030697584,63.66320419,90.51229858,38.78103256,29.9039402,29.99352455
Rwanda2023,RWA,2023,25.70547104,9.436017036,13.72534847,3.5739161020669687,34.65595245,22.8974781,3.993316174,42.67111588,23.16379738,68.45425415,52.68950653,42.61109161,44.10499954,48.44720078,7.255300522,60.58708954
Singapore2023,SGP,2023,9.406707764,2.040826559,12.20619011,3.37322369405236,28.17241859,20.59768295,11.12244987,27.8376236,1.362556815,18.52687263,14.8726759,64.28223419,69.10063171,82.41775513,16.53438759,0.118311934
Sierra Leone2023,SLE,2023,7.991259098,3.439718246,22.49730873,2.47666378049233,10.90149212,52.56969833,4.46612072,17.56467247,53.65418243,34.60087204,31.87487221,15.61952019,12.72886848,54.12854767,0.878589034,66.22390747
El Salvador2023,SLV,2023,17.40729904,13.03107548,13.87227345,4.0369455466751765,55.65303421,38.43292999,13.29580593,55.24855042,15.66143417,38.30870438,21.19794846,69.54465485,43.05921173,78.20471191,6.777480125,36.23701477
Seychelles2023,SYC,2023,21.09592056,17.10411644,6.187981129,3.3644761515303414,27.9183445,60.04825211,5.504865646,43.23193741,27.88527679,51.61929321,30.75962257,60.13134384,44.7309494,42.76358032,4.097613811,38.2654686
Chad2023,TCD,2023,0.000306708,-8.792309761,19.70927238,2.7820363500262597,15.15187836,43.51992416,2.846861124,9.311567307,39.4623642,18.68034935,16.94370651,20.12705803,7.957948685,36.25113678,4.657697678,96.17499542
Samoa2023,WSM,2023,23.70039368,10.28578758,17.68162727,2.8225406832855957,15.81952953,55.63831329,5.699853897,46.0256691,13.02651691,47.19555664,18.22080612,59.79744339,23.01609421,31.0888195,3.446323156,66.30813599
